date,open,high,low,close,volume
2026-03-30,168.78,169.45,164.27,165.17,185627000.0
2026-03-31,166.97,174.62,166.96,174.4,226181301.0
2026-04-01,176.0,177.37,174.75,175.75,168132005.0
2026-04-02,172.18,177.49,171.37,177.39,143143200.0
2026-04-06,177.16,177.79,175.76,177.64,107564300.0
2026-04-07,175.73,178.23,173.66,178.1,132534902.0
2026-04-08,184.5,185.26,180.3,182.08,147732700.0
2026-04-09,181.84,184.08,180.62,183.91,116428523.0
2026-04-10,184.31,190.0,184.3,188.63,160459525.0
2026-04-13,186.03,189.66,185.74,189.31,133648200.0
2026-04-14,190.84,196.51,190.77,196.51,161307010.0
2026-04-15,196.54,200.4,195.74,198.87,185338400.0
2026-04-16,197.43,199.85,195.81,198.35,134012900.0
2026-04-17,199.9,201.7,199.27,201.68,160324417.0
2026-04-20,199.98,202.17,197.84,202.06,119381400.0
2026-04-21,202.13,202.75,199.0,199.88,107945302.0
2026-04-22,200.99,202.5,199.0,202.5,107501042.0
2026-04-23,202.46,203.83,197.22,199.64,113561830.0
2026-04-24,199.96,210.95,199.81,208.27,214134441.0
2026-04-27,209.65,216.83,207.38,216.61,187172421.0
2026-04-28,209.49,214.73,208.2,213.17,180275400.0
2026-04-29,212.7,212.72,207.58,209.25,123711821.0
2026-04-30,209.93,210.3,198.7,199.57,225239200.0
2026-05-01,201.28,203.0,197.12,198.45,128647000.0
2026-05-04,199.5,201.73,194.74,198.48,125368100.0
2026-05-05,199.3,200.24,196.03,196.5,113406620.0
2026-05-06,199.89,208.27,198.61,207.83,188362812.0
2026-05-07,208.34,214.2,206.5,211.5,168307900.0
2026-05-08,213.03,217.8,212.89,215.2,136421400.0
2026-05-11,214.04,222.3,213.89,219.44,160685800.0
2026-05-12,218.55,223.75,214.92,220.78,159176619.0
2026-05-13,224.93,227.84,221.57,225.83,150405400.0
2026-05-14,229.85,236.54,229.3,235.74,180782900.0
2026-05-15,229.76,231.5,224.24,225.32,180977640.0
2026-05-18,229.87,230.0,218.37,222.32,146280900.0
2026-05-19,219.62,224.48,217.91,220.61,140948207.0
2026-05-20,223.18,226.13,220.5,223.47,184201600.0
2026-05-21,222.29,227.4,217.93,219.51,203381800.0
2026-05-22,220.9,221.01,214.8,215.33,169275710.0
2026-05-26,216.54,218.18,212.0,214.86,187202600.0
2026-05-27,214.12,214.15,208.78,212.6,167601200.0
2026-05-28,211.28,215.52,211.22,214.25,143996048.0
2026-05-29,214.58,217.86,211.13,211.14,289410624.0
2026-06-01,215.73,224.87,215.7,224.36,212850700.0
2026-06-02,227.18,232.28,221.35,222.82,193400622.0
2026-06-03,221.72,222.82,214.51,214.75,160907001.0
2026-06-04,213.91,221.6,210.97,218.66,169022200.0
2026-06-05,214.53,214.87,204.33,205.1,219655532.0
2026-06-08,210.18,210.47,206.0,208.64,138372837.0
2026-06-09,210.62,211.4,199.34,208.19,180962500.0
2026-06-10,204.43,207.22,199.92,200.42,161746600.0
2026-06-11,201.49,205.66,199.54,204.87,158643204.0
2026-06-12,204.86,207.07,203.44,205.19,112345315.0
2026-06-15,208.92,212.71,208.34,212.45,149936700.0
2026-06-16,211.18,211.49,207.29,207.41,125694100.0
2026-06-17,208.53,209.21,203.08,204.65,128363500.0
2026-06-18,207.33,211.39,206.5,210.69,241272014.0
2026-06-22,211.44,213.99,207.72,208.65,122041419.0
2026-06-23,202.17,203.77,200.0,200.04,153496200.0
2026-06-24,200.12,201.67,196.58,199.0,151810704.0
2026-06-25,200.08,200.8,192.13,195.74,150205647.0
2026-06-26,193.12,195.55,191.22,192.53,179304147.0
